"sep=,"
started,ended,totalTimeMs,ttfbMs,redirects,contentLength,downloadedLength,downloadSpeedMbps,downloadSpeedWithTtfbMbps,error
2021-02-23 18:32:49.659937,2021-02-23 18:33:28.324285,38662,2388,0,9340398,9340398,0.24556700881105764,0.230399298474272,
2021-02-23 18:33:28.335261,2021-02-23 18:33:37.096327,8760,278,0,29354372,29354372,3.3004610528925684,3.1957203939080783,
2021-02-23 18:33:37.101312,2021-02-23 18:34:23.581305,46480,15393,0,79096511,79096511,2.426490528453837,1.6228982585637788,
2021-02-23 18:34:23.587323,2021-02-23 18:36:26.595654,123008,263,0,436085443,436085443,3.3881908570429893,3.3809466599549762,
2021-02-23 18:36:26.605665,2021-02-23 18:36:30.879190,4273,1077,1,-1,9340398,2.787139448564551,2.084647244936182,
2021-02-23 18:36:30.886171,2021-02-23 18:36:40.787183,9900,1131,1,-1,29354372,3.192440489295788,2.8277283485489666,
2021-02-23 18:36:40.792172,2021-02-23 18:37:01.693249,20901,2806,1,-1,79096511,4.168682567452027,3.6090288052267563,
2021-02-23 18:37:01.702224,2021-02-23 18:38:18.351815,76650,2228,1,-1,436085443,5.588179392487996,5.425746728607198,
2021-02-23 18:38:18.357799,2021-02-23 18:38:20.387877,2030,143,0,-1,9340398,4.720560507478699,4.388028412616898,
2021-02-23 18:38:20.393863,2021-02-23 18:38:26.511488,6117,931,0,-1,29354372,5.398093067997449,4.576509833355365,
2021-02-23 18:38:26.527445,2021-02-23 18:38:37.875481,11347,725,0,-1,79096511,7.101516763137303,6.647775716757243,
2021-02-23 18:38:37.880466,2021-02-23 18:39:54.902079,77021,1756,0,-1,436085443,5.525589407397087,5.399611622125676,
2021-02-23 18:39:54.908062,2021-02-23 18:40:09.369357,14460,285,0,9340398,9340398,0.6284090072389632,0.6160233525319714,
2021-02-23 18:40:09.376346,2021-02-23 18:40:16.409515,7033,290,0,29354372,29354372,4.151640315977275,3.98045082477389,
2021-02-23 18:40:16.416497,2021-02-23 18:40:36.975470,20559,386,0,79096511,79096511,3.739270859963537,3.6690651810907355,
2021-02-23 18:40:36.985445,2021-02-23 18:43:04.458872,147472,789,0,436085443,436085443,2.8352534836875556,2.82008440075229,
2021-02-23 18:43:04.466851,2021-02-23 18:43:08.961332,4494,1851,0,9340398,9340398,3.3702980240682194,1.9821312144219636,
2021-02-23 18:43:08.970312,2021-02-23 18:43:17.008166,8038,1006,0,29354372,29354372,3.981016872957163,3.4827706706437875,
2021-02-23 18:43:17.016145,2021-02-23 18:44:22.226844,65210,1524,0,79096511,79096511,1.1844410240562202,1.1567598690085024,
2021-02-23 18:44:22.236818,2021-02-23 18:52:56.643781,514406,1282,0,436085443,436085443,0.8104931493123333,0.8084732424344617,
2021-02-23 18:52:56.654751,2021-02-23 18:53:57.074465,60419,-1,0,-1,0,0.0,0.0,HTTP status code 504
2021-02-23 18:53:57.087431,2021-02-23 18:54:58.339498,61252,-1,0,-1,0,0.0,0.0,HTTP status code 504
2021-02-23 18:54:58.345482,2021-02-23 18:55:58.583083,60238,-1,0,-1,0,0.0,0.0,HTTP status code 504
2021-02-23 18:55:58.590065,2021-02-23 18:56:58.837929,60247,-1,0,-1,0,0.0,0.0,HTTP status code 504
2021-02-23 18:56:58.838928,2021-02-23 18:57:59.044074,60204,-1,0,-1,0,0.0,0.0,HTTP status code 504
2021-02-23 18:57:59.051054,2021-02-23 18:58:59.258517,60207,-1,0,-1,0,0.0,0.0,HTTP status code 504
2021-02-23 18:58:59.267495,2021-02-23 18:59:59.545055,60277,-1,0,-1,0,0.0,0.0,HTTP status code 504
2021-02-23 18:59:59.554032,2021-02-23 19:00:59.844909,60290,-1,0,-1,0,0.0,0.0,HTTP status code 504
2021-02-23 19:00:59.852887,2021-02-23 19:01:34.127598,34274,290,0,9340398,9340398,0.26211445614442985,0.25989664695140063,
